"omega","p0x","px0","n","lambda","bias_e","var_e","bias_a","var_a","bias_sq_e","bias_sq_a","mse_e","mse_a","mse_diff","bias_sq_diff","var_diff"
50,0.33,0.66,50,0.0156381696426383,-0.837985117224249,0.388802262114546,-0.0722094116820673,2.9760881030396,0.702219056689338,0.00521419913547028,1.09102131880388,2.98130230217507,1.89028098337119,-0.697004857553868,2.58728584092505
50,0.33,0.66,55,0.0142609595411752,-0.763041303296978,0.392905119157975,-0.0701901560747549,2.72466741976067,0.58223203053715,0.00492665800979845,0.975137149695125,2.72959407777047,1.75445692807534,-0.577305372527352,2.3317623006027
50,0.33,0.66,60,0.0131066898256567,-0.70798160449785,0.412060051406163,-0.0678329826608157,2.51321519862219,0.50123795230735,0.00460131353666253,0.913298003713514,2.51781651215885,1.60451850844534,-0.496636638770688,2.10115514721603
50,0.33,0.66,65,0.0121252801505537,-0.665034832602488,0.423875678549639,-0.0653557258382562,2.33273574641887,0.442271328574619,0.00427137089984531,0.866147007124258,2.33700711731871,1.47086011019446,-0.437999957674774,1.90886006786923
50,0.33,0.66,70,0.0112806050222693,-0.610626173639854,0.429504757675127,-0.0628777951410107,2.17678637507318,0.372864323934049,0.0039536171217949,0.802369081609176,2.18073999219498,1.3783709105858,-0.368910706812254,1.74728161739805
50,0.33,0.66,75,0.0105459497139462,-0.555791736712064,0.429839048844775,-0.0604639812850931,2.04061976324361,0.308904454597413,0.00365589303284409,0.738743503442187,2.04427565627646,1.30553215283427,-0.305248561564569,1.61078071439884
50,0.33,0.66,80,0.00990113322845299,-0.52556343650951,0.440856913678997,-0.0581480524632063,1.920654045157,0.276216925795686,0.00338119600526379,0.717073839474683,1.92403524116227,1.20696140168758,-0.272835729790422,1.47979713147801
50,0.33,0.66,85,0.00933062591760496,-0.47311923618867,0.438957300613153,-0.0559458984447232,1.81413198938075,0.223841811651751,0.00312994355278728,0.662799112264904,1.81726193293354,1.15446282066864,-0.220711868098963,1.3751746887676
50,0.33,0.66,90,0.00882228242731771,-0.453070760145646,0.463711372070768,-0.0538630522807512,1.71889429939114,0.205273113698953,0.00290122840099893,0.668984485769721,1.72179552779214,1.05281104202241,-0.202371885297954,1.25518292732037
50,0.33,0.66,95,0.00836646742724207,-0.418819930419795,0.46059890278475,-0.0518990862356681,1.63322445086389,0.175410134116842,0.00269351515209731,0.636009036901592,1.63591796601599,0.999908929114397,-0.172716618964745,1.17262554807914
50,0.33,0.66,100,0.00795543904768209,-0.392704161694439,0.468828626544281,-0.0500502211548862,1.55573984551506,0.154216558612132,0.00250502463765302,0.623045185156414,1.55824487015272,0.935199684996302,-0.151711533974479,1.08691121897078
50,0.33,0.66,105,0.00758290554924134,-0.375200142434353,0.479674148925509,-0.048310890824633,1.48531380189559,0.140775146882759,0.00233394217226961,0.620449295808268,1.48764774406786,0.867198448259596,-0.138441204710489,1.00563965297008
50,0.33,0.66,110,0.00724370098090738,-0.356720254281278,0.485260829239863,-0.0466746833380954,1.421018583363,0.1272493398145,0.00217852606471148,0.612510169054363,1.42319710942771,0.810686940373349,-0.125070813749788,0.935757754123137
50,0.33,0.66,115,0.00693354416310226,-0.320786483405099,0.491261943765851,-0.0451349053664334,1.36208308894308,0.10290396793541,0.0020371596824369,0.594165911701261,1.36412024862552,0.76995433692426,-0.100866808252973,0.870821145177233
50,0.33,0.66,120,0.00664885704679122,-0.311759978150386,0.497176956270469,-0.0436849155469976,1.3078609606881,0.0971942839763291,0.00190837184634831,0.594371240246799,1.30976933253445,0.71539809228765,-0.0952859121299808,0.81068400441763
50,0.33,0.66,125,0.00638662605610327,-0.30182788833368,0.498710270409574,-0.0423183154402323,1.2578062179785,0.0911000741759683,0.00179083982169901,0.589810344585542,1.2595970578002,0.669786713214655,-0.0893092343542693,0.759095947568924
50,0.33,0.66,130,0.00614429499784397,-0.282731474176055,0.511597707775787,-0.0410290523430666,1.21145441477471,0.0799370864897655,0.0016833831361701,0.591534794265553,1.21313779791088,0.621603003645328,-0.0782537033535954,0.699856706998924
50,0.33,0.66,135,0.00591968146008873,-0.26239796826178,0.50090737219473,-0.0398114676720418,1.16840790598527,0.0688526937479101,0.00158495295820203,0.56976006594264,1.16999285894347,0.600232793000831,-0.0672677407897081,0.667500533790539
50,0.33,0.66,140,0.0057109109010985,-0.256212077806717,0.50333304935516,-0.0386603120421528,1.12832420988734,0.0656446288140353,0.00149461972719663,0.568977678169196,1.12981882961454,0.560841151445343,-0.0641500090868387,0.624991160532181
50,0.33,0.66,145,0.00551636421011455,-0.229082685625154,0.514339151368508,-0.0375707403612077,1.0909067303774,0.0524788768532331,0.00141156053128928,0.566818028221741,1.09231829090869,0.525500262686951,-0.0510673163219439,0.576567579008895
50,0.33,0.66,150,0.00533463563335211,-0.191963928693548,0.525821989569046,-0.036538295362202,1.05589729706164,0.0368501499194616,0.00133504702797551,0.562672139488507,1.05723234408962,0.494560204601111,-0.0355151028914861,0.530075307492597
50,0.33,0.66,155,0.00516449875116094,-0.202998171844508,0.524676641450072,-0.0355588848944013,1.02307011942203,0.0412082577722126,0.00126443429493328,0.565884899222285,1.02433455371696,0.458449654494675,-0.0399438234772793,0.498393477971954
50,0.33,0.66,160,0.00500487876448179,-0.189255654169158,0.52491377812564,-0.0346287563145388,0.992226850958552,0.035817702634996,0.00119915076389171,0.560731480760636,0.993426001722444,0.432694520961809,-0.0346185518711043,0.467313072832913
50,0.33,0.66,165,0.00485482976650595,-0.188077486404873,0.509187710958407,-0.0337444700499012,0.96319253194124,0.0353731408923751,0.00113868925894868,0.544560851850782,0.964331221200189,0.419770369349407,-0.0342344516334264,0.454004820982833
50,0.33,0.66,170,0.00471351598377697,-0.188372786355598,0.534062677827885,-0.0329028735883776,0.935812233080448,0.0354843066393718,0.00108259909037276,0.569546984467257,0.936894832170821,0.367347847703564,-0.0344017075489991,0.401749555252563
50,0.33,0.66,175,0.00458019620081697,-0.164063399445834,0.537407539755024,-0.0321010766252628,0.909948262447839,0.0269167990377234,0.001030479120501,0.564324338792747,0.91097874156834,0.346654402775594,-0.0258863199172224,0.372540722692816
50,0.33,0.66,180,0.00445421075530264,-0.158563500319221,0.517758500691955,-0.0313364277600393,0.885477828114285,0.0251423836334837,0.000981971704760159,0.542900884325438,0.886459799819045,0.343558915493607,-0.0241604119287235,0.36771932742233
50,0.33,0.66,185,0.0043349706220921,-0.130894945757871,0.52911341952348,-0.0306064929225247,0.862291071864575,0.017133486824956,0.000936757409016552,0.546246906348436,0.863227829273591,0.316980922925155,-0.0161967294159395,0.333177652341095
50,0.33,0.66,190,0.00422194820487532,-0.139686648097031,0.522845045467816,-0.0299090355740309,0.840289406889016,0.0195123596565837,0.000894550408968646,0.5423574051244,0.841183957297985,0.298826552173585,-0.0186178092476151,0.3174443614212
50,0.33,0.66,195,0.00411466953171597,-0.137862805246272,0.518673755648935,-0.0292419986476709,0.819384105897619,0.0190061530703717,0.000855094484910387,0.537679908719307,0.820239200382529,0.282559291663223,-0.0181510585854613,0.300710350248684
50,0.33,0.66,200,0.00401270761096487,-0.12132254706993,0.524448482141206,-0.0286034881444793,0.799495096641467,0.0147191604275354,0.000818159534031369,0.539167642568741,0.800313256175498,0.261145613606757,-0.013901000893504,0.275046614500261
50,0.33,0.66,250,0.0032158233759576,-0.0861015414708839,0.497806784920711,-0.023461384866397,0.643373158826239,0.00741347544366234,0.000550436579849201,0.505220260364373,0.643923595406088,0.138703335041715,-0.00686303886381314,0.145566373905528
50,0.33,0.66,260,0.00309297644048988,-0.0811540942484918,0.489781058524276,-0.0226447888803195,0.619195981126497,0.0065859870132931,0.000512786463434242,0.496367045537569,0.619708767589931,0.123341722052362,-0.00607320054985886,0.129414922602221
50,0.33,0.66,270,0.00297916985231381,-0.0638254020942006,0.503806778758736,-0.0218826037710559,0.596771310105081,0.00407368195248639,0.000478848347801032,0.507880460711223,0.597250158452882,0.0893696977416589,-0.00359483360468536,0.0929645313463443
50,0.33,0.66,280,0.00287344110376486,-0.0695041937507002,0.486268254500298,-0.0211696237738425,0.575915135699991,0.00483083294893487,0.000448152970726036,0.491099087449232,0.576363288670717,0.0852642012214847,-0.00438267997820883,0.0896468811996935
50,0.33,0.66,290,0.00277495963930273,-0.0519269965057871,0.478679841510648,-0.0205012785685543,0.556468354493377,0.00269641296611203,0.000420302422945465,0.48137625447676,0.556888656916322,0.075512402439562,-0.00227611054316656,0.0777885129827285
50,0.33,0.66,300,0.00268300499283127,-0.0523803271910186,0.491096346761667,-0.019873540600477,0.538292690900519,0.00274369867663816,0.000394957615998809,0.493840045438305,0.538687648516517,0.0448476030782123,-0.00234874106063935,0.0471963441388517
50,0.33,0.66,310,0.00259694913241676,-0.04035787918686,0.487223656189941,-0.019282847875389,0.521267394996074,0.00162875841246118,0.000371828222185393,0.488852414602402,0.52163922321826,0.0327868086158579,-0.00125693019027579,0.0340437388061337
50,0.33,0.66,320,0.0025162420971124,-0.0424289692223994,0.482031617442456,-0.0187260393631415,0.505286549654216,0.00180021742927531,0.000350664550229927,0.483831834871731,0.505637214204446,0.0218053793327144,-0.00144955287904539,0.0232549322117598
50,0.33,0.66,330,0.00244040023129928,-0.0436266854884817,0.461645090180392,-0.0182003007172705,0.490256859672854,0.0019032876867109,0.000331250946199076,0.463548377867103,0.490588110619054,0.0270397327519508,-0.00157203674051182,0.0286117694924626
50,0.33,0.66,340,0.00236899648453808,-0.0368297263043007,0.44614154349473,-0.0177031184707733,0.476095825097242,0.0013564287396497,0.000313400403590235,0.44749797223438,0.476409225500832,0.0289112532664517,-0.00104302833605946,0.0299542816025112
50,0.33,0.66,350,0.00230165236591352,-0.0443965271641389,0.442400185538006,-0.0172322412259825,0.46273022300406,0.00197105162423612,0.000296950137670452,0.444371237162242,0.46302717314173,0.0186559359794885,-0.00167410148656567,0.0203300374660542
50,0.33,0.66,360,0.002238031232743,-0.0303700135014431,0.4512732719221,-0.0167856466399868,0.450094838611773,0.000922337720077835,0.0002817579331225,0.452195609642178,0.450376596544896,-0.00181901309728244,-0.000640579786955335,-0.00117843331032713
50,0.33,0.66,370,0.00217783266240715,-0.0273520717481466,0.455425628188957,-0.0163615132323991,0.438131399199556,0.000748135828915758,0.00026769911525397,0.456173764017873,0.43839909831481,-0.0177746657030629,-0.000480436713661788,-0.0172942289894011
50,0.33,0.66,380,0.00212078770870756,-0.0213698823137576,0.439941501894169,-0.0159581962220119,0.426787673982719,0.000456671870103849,0.000254664026660234,0.440398173764273,0.42704233800938,-0.0133558357548932,-0.000202007843443615,-0.0131538279114496
50,0.33,0.66,390,0.00206665488470952,-0.0334522535606601,0.41704386745113,-0.0155742067427617,0.416016710554988,0.00111905326828669,0.000242555915666284,0.418162920719416,0.416259266470654,-0.00190365424876238,-0.00087649735262041,-0.00102715689614197
50,0.33,0.66,400,0.00201521674549646,-0.00671488573712731,0.418591732538101,-0.015208193905062,0.405776184311694,4.50896904626757e-05,0.000231289161853965,0.418636822228564,0.406007473473548,-0.012629348755016,0.000186199471391289,-0.0128155482264073
50,0.33,0.66,410,0.0019662769688537,-0.0317225456084294,0.405811327367808,-0.0148589292618615,0.396027841812912,0.00100631989987888,0.000220787778809004,0.406817647267687,0.396248629591721,-0.0105690176759654,-0.000785532121069877,-0.0097834855548955
50,0.33,0.66,420,0.00191965785124252,-0.0348684328081874,0.40470565134645,-0.0145252933143539,0.38673702262804,0.00121580760649908,0.000210984145868014,0.405921458952949,0.386948006773908,-0.0189734521790411,-0.00100482346063107,-0.01796862871841
50,0.33,0.66,430,0.00187519815173688,-0.0109286048112747,0.411702657703307,-0.0142062637537254,0.377872247044707,0.000119434403121016,0.000201817929840412,0.411822092106428,0.378074064974547,-0.0337480271318804,8.23835267193958e-05,-0.0338304106585998
50,0.33,0.66,440,0.00183275122878769,-0.0357331327024482,0.379783938631758,-0.0139009051854971,0.369404859291743,0.00127685677273077,0.000193235164976179,0.381060795404489,0.369598094456719,-0.0114627009477699,-0.00108362160775459,-0.0103790793400153
50,0.33,0.66,450,0.00179218342444251,-0.0112468270679633,0.385162144213599,-0.0136083601241381,0.361308717744503,0.000126491119096672,0.000185187465268233,0.385288635332696,0.361493905209771,-0.0237947301229245,5.86963461715604e-05,-0.0238534264690961
50,0.33,0.66,460,0.00175337265850912,-0.0125895609274638,0.373284953336272,-0.0133278410794502,0.353559925047593,0.000158497044346322,0.00017763134783908,0.373443450380618,0.353737556395433,-0.0197058939851854,1.91343034927572e-05,-0.0197250282886782
