"n","lambda","mse"
100,0.00488256973778525,0.575225773589624
100,0.00542507748642805,0.545396524152694
100,0.00596758523507086,0.519393469268529
100,0.00651009298371366,0.496536017829207
100,0.00705260073235647,0.47631503159771
100,0.00759510848099927,0.458339615781564
100,0.00813761622964208,0.442302987302399
100,0.00868012397828488,0.427959792208809
100,0.00922263172692769,0.415110569989884
100,0.00976513947557049,0.403590831942309
100,0.0103076472242133,0.393263206472272
100,0.0108501549728561,0.38401167561824
100,0.0113926627214989,0.375737269956942
100,0.0119351704701417,0.368354801141065
100,0.0124776782187845,0.361790346078565
100,0.0130201859674273,0.355979284471818
100,0.0135626937160701,0.350864749763437
100,0.0141052014647129,0.34639639308893
100,0.0146477092133557,0.34252938713716
100,0.0151902169619985,0.339223615970106
100,0.0157327247106414,0.336443010487453
100,0.0162752324592842,0.334154999061171
100,0.016817740207927,0.33233005005662
100,0.0173602479565698,0.330941288274073
100,0.0179027557052126,0.329964171319227
100,0.0184452634538554,0.329376214912388
100,0.0189877712024982,0.329156758433571
100,0.019530278951141,0.329286763759839
100,0.0200727866997838,0.329748641815262
100,0.0206152944484266,0.330526102319788
100,0.0211578021970694,0.331604023062511
100,0.0217003099457122,0.332968335690019
100,0.022242817694355,0.334605925531373
100,0.0227853254429978,0.33650454340744
100,0.0233278331916406,0.33865272771658
100,0.0238703409402834,0.341039735368291
100,0.0244128486889262,0.343655480364726
100,0.024955356437569,0.346490479017391
100,0.0254978641862118,0.349535800940881
100,0.0260403719348547,0.352783025093538
100,0.0265828796834975,0.35622420024149
100,0.0271253874321403,0.359851809311581
100,0.0276678951807831,0.363658737173406
100,0.0282104029294259,0.36763824145366
100,0.0287529106780687,0.371783926039191
100,0.0292954184267115,0.376089716970329
100,0.0298379261753543,0.380549840464527
100,0.0303804339239971,0.385158802843186
100,0.0309229416726399,0.389911372162702
100,0.0314654494212827,0.394802561374972
100,0.0320079571699255,0.399827612863459
100,0.0325504649185683,0.404981984218966
100,0.0330929726672111,0.410261335134901
100,0.0336354804158539,0.415661515315426
100,0.0341779881644967,0.421178553301714
100,0.0347204959131395,0.426808646131913
100,0.0352630036617823,0.43254814975947
100,0.0358055114104251,0.438393570162426
100,0.0363480191590679,0.444341555083304
100,0.0368905269077108,0.450388886345381
100,0.0374330346563536,0.456532472696582
100,0.0379755424049964,0.462769343137077
100,0.0385180501536392,0.469096640690931
100,0.039060557902282,0.47551161658598
100,0.0396030656509248,0.482011624809474
100,0.0401455733995676,0.488594117010066
100,0.0406880811482104,0.495256637719439
100,0.0412305888968532,0.501996819869246
100,0.041773096645496,0.50881238058124
100,0.0423156043941388,0.515701117210408
100,0.0428581121427816,0.52266090362266
100,0.0434006198914244,0.529689686690221
100,0.0439431276400672,0.536785482989289
100,0.04448563538871,0.5439463756858
100,0.0450281431373528,0.551170511596324
100,0.0455706508859956,0.558456098412134
100,0.0461131586346384,0.565801402075499
100,0.0466556663832812,0.573204744298054
100,0.0471981741319241,0.580664500211958
100,0.0477406818805669,0.588179096145206
100,0.0482831896292097,0.59574700751317
100,0.0488256973778525,0.603366756819
100,0.0493682051264953,0.611036911756091
100,0.0499107128751381,0.618756083406307
100,0.0504532206237809,0.626522924528119
100,0.0509957283724237,0.634336127929216
100,0.0515382361210665,0.642194424918567
100,0.0520807438697093,0.650096583833233
100,0.0526232516183521,0.658041408635552
100,0.0531657593669949,0.666027737576673
100,0.0537082671156377,0.674054441922595
150,0,NA
150,0.000365385390912539,0.593668215593068
150,0.000730770781825078,0.515689394694268
