"omega","p0x","px0","n","estimator","mean","var","bias","bias_sq","mse"
2,0.5,0.33,2000,"estimate_oracle",0.681692432808603,0.0093299996530515,-0.0114547477513419,0.000131211246046873,0.00946121089909837
2,0.5,0.33,2000,"estimate_pi",0.681516881912556,0.00998352084607915,-0.011630298647389,0.000135263846627457,0.0101187846927066
2,0.5,0.33,5000,"estimate_c05",0.692054882792507,0.00385453731200034,-0.00109229776743869,1.19311441275154e-06,0.00385573042641309
2,0.5,0.33,5000,"estimate_mle",0.692416274164368,0.00385883832421048,-0.000730906395576825,5.34224159095106e-07,0.00385937254836958
2,0.5,0.33,5000,"estimate_oracle",0.687433577111221,0.00380011970002255,-0.00571360344872396,3.26452643692703e-05,0.00383276496439182
2,0.5,0.33,5000,"estimate_pi",0.687390021621135,0.00390574736694229,-0.00575715893881013,3.31448790467213e-05,0.00393889224598901
2,0.5,0.33,10000,"estimate_c05",0.692636096213098,0.00193013045410481,-0.000511084346846991,2.61207209592015e-07,0.0019303916613144
2,0.5,0.33,10000,"estimate_mle",0.692816694321766,0.0019312096355616,-0.00033048623817955,1.0922115362607e-07,0.00193131885671522
2,0.5,0.33,10000,"estimate_oracle",0.690314280325171,0.00191641119953385,-0.00283290023477467,8.02532374018639e-06,0.00192443652327404
2,0.5,0.33,10000,"estimate_pi",0.690303824927616,0.00194285258884962,-0.00284335563232951,8.08467125189997e-06,0.00195093726010152
2,0.5,0.5,500,"estimate_c05",0.694444886484393,0.0335595968425878,0.00129770592444756,1.68404066634629e-06,0.0335612808832542
2,0.5,0.5,500,"estimate_mle",0.697312198951577,0.0338505276326157,0.00416501839163197,1.73473782026326e-05,0.0338678750108183
2,0.5,0.5,500,"estimate_oracle",0.65120884019464,0.0293682674785497,-0.0419383403653054,0.00175882439259621,0.0311270918711459
2,0.5,0.5,500,"estimate_pi",0.650056664185537,0.0371931346682144,-0.0430905163744084,0.00185679260141316,0.0390499272696276
2,0.5,0.5,1000,"estimate_c05",0.688468475084223,0.0160905170114715,-0.00467870547572191,2.18902849285502e-05,0.0161124072964001
2,0.5,0.5,1000,"estimate_mle",0.689881771684293,0.0161593060136651,-0.00326540887565241,1.06628951251895e-05,0.0161699689087902
2,0.5,0.5,1000,"estimate_oracle",0.666216131525968,0.0150292465705196,-0.0269310490339777,0.000725281402070511,0.0157545279725901
2,0.5,0.5,1000,"estimate_pi",0.665380236410667,0.0171275600726091,-0.0277669441492784,0.000771003187389145,0.0178985632599983
2,0.5,0.5,2000,"estimate_c05",0.694691651216486,0.0085321149277244,0.00154447065654051,2.38538960891467e-06,0.00853450031733331
2,0.5,0.5,2000,"estimate_mle",0.695402761004147,0.00855029769594883,0.00225558044420171,5.08764314026518e-06,0.0085553853390891
2,0.5,0.5,2000,"estimate_oracle",0.683237752763991,0.00824236996642324,-0.00990942779595427,9.81967592432312e-05,0.00834056672566647
2,0.5,0.5,2000,"estimate_pi",0.683126303639125,0.00881134105639505,-0.0100208769208202,0.000100417974262227,0.00891175903065728
2,0.5,0.5,5000,"estimate_c05",0.694081902704737,0.00319056067350688,0.000934722144792177,8.73705487964888e-07,0.00319143437899485
2,0.5,0.5,5000,"estimate_mle",0.694365510585189,0.00319328038145134,0.00121833002524419,1.4843280504115e-06,0.00319476470950175
2,0.5,0.5,5000,"estimate_oracle",0.689449930004131,0.00314644626266771,-0.00369725055581405,1.36696616724673e-05,0.00316011592434018
2,0.5,0.5,5000,"estimate_pi",0.689437397658753,0.00323212825957538,-0.00370978290119228,1.37624891739786e-05,0.00324589074874936
2,0.5,0.5,10000,"estimate_c05",0.692576909943704,0.00171735719495295,-0.000570270616241375,3.25208575748318e-07,0.00171768240352869
2,0.5,0.5,10000,"estimate_mle",0.692718290835388,0.0017180842986644,-0.000428889724556791,1.839463958304e-07,0.00171826824506023
2,0.5,0.5,10000,"estimate_oracle",0.6902568224022,0.00170541516468345,-0.00289035815774519,8.35417028004415e-06,0.00171376933496349
2,0.5,0.5,10000,"estimate_pi",0.690246130518736,0.00172873785670112,-0.00290105004120977,8.41609134160323e-06,0.00173715394804272
2,0.5,0.9,500,"estimate_c05",0.69574797759118,0.0999042163899294,0.00260079703123495,6.76414519768051e-06,0.0999109805351271
2,0.5,0.9,500,"estimate_mle",0.710331022548338,0.104917766236459,0.0171838419883928,0.000295284425482053,0.105213050661941
2,0.5,0.9,500,"estimate_oracle",0.650669529004548,0.0856605638542398,-0.0424776515553971,0.00180435088166173,0.0874649147359015
2,0.5,0.9,500,"estimate_pi",0.651138524585474,0.10629166754227,-0.0420086559744709,0.00176472717678145,0.108056394719051
2,0.5,0.9,1000,"estimate_c05",0.693598924953162,0.0485106751707938,0.000451744393216935,2.04072996802937e-07,0.0485108792437906
2,0.5,0.9,1000,"estimate_mle",0.700565180642739,0.0496467083993581,0.00741800008279381,5.50267252283289e-05,0.0497017351245864
2,0.5,0.9,1000,"estimate_oracle",0.670629334602781,0.0449477538652863,-0.0225178459571639,0.000507053386550562,0.0454548072518369
2,0.5,0.9,1000,"estimate_pi",0.669250745797104,0.0516237117378595,-0.023896434762841,0.000571039594374715,0.0521947513322342
2,0.5,0.9,2000,"estimate_c05",0.694508419175941,0.0239790568284229,0.00136123861599524,1.85297056967664e-06,0.0239809097989926
2,0.5,0.9,2000,"estimate_mle",0.697947227828734,0.0242523031640701,0.00480004726878902,2.30404537826089e-05,0.0242753436178527
2,0.5,0.9,2000,"estimate_oracle",0.682815630227689,0.0230669349992992,-0.0103315503322563,0.000106740932267945,0.0231736759315672
2,0.5,0.9,2000,"estimate_pi",0.682441278972165,0.0248087814039394,-0.0107059015877801,0.000114616328807232,0.0249233977327467
2,0.5,0.9,5000,"estimate_c05",0.690944827465543,0.00964237097537643,-0.00220235309440242,4.85035915242392e-06,0.00964722133452886
2,0.5,0.9,5000,"estimate_mle",0.692299098673182,0.00968569519574237,-0.000848081886762886,7.19242886655296e-07,0.00968641443862902
2,0.5,0.9,5000,"estimate_oracle",0.686264780934418,0.00949535197749667,-0.00688239962552739,4.73674246054596e-05,0.00954271940210213
2,0.5,0.9,5000,"estimate_pi",0.686158988516981,0.00977374624060827,-0.00698819204296453,4.88348280293527e-05,0.00982258106863762
2,0.5,0.9,10000,"estimate_c05",0.693785784127235,0.00483281049024603,0.000638603567289842,4.07814516155311e-07,0.00483321830476219
2,0.5,0.9,10000,"estimate_mle",0.694464161638723,0.00484358707711175,0.00131698107877742,1.73443916185775e-06,0.00484532151627361
2,0.5,0.9,10000,"estimate_oracle",0.691428545070371,0.00479587739551615,-0.0017186354895744,2.95370794602465e-06,0.00479883110346217
2,0.5,0.9,10000,"estimate_pi",0.691415263829738,0.00486467132335246,-0.00173191673020778,2.99953556037362e-06,0.00486767085891284
2,0.66,0.33,500,"estimate_c05",0.692720447548169,0.0457168624782659,-0.000426733011776759,1.82101063340063e-07,0.0457170445793292
2,0.66,0.33,500,"estimate_mle",0.700074714302723,0.0465268816765601,0.00692753374277799,4.79907237573276e-05,0.0465748724003174
2,0.66,0.33,500,"estimate_oracle",0.648424936572219,0.0390852887983643,-0.0447222439877266,0.00200007910729775,0.0410853679056621
2,0.66,0.33,500,"estimate_pi",0.647112456644089,0.0504828117789249,-0.0460347239158565,0.00211919580600913,0.052602007584934
2,0.66,0.33,1000,"estimate_c05",0.691668198910357,0.0219851786601729,-0.0014789816495886,2.1873867198198e-06,0.0219873660468927
2,0.66,0.33,1000,"estimate_mle",0.695287698303406,0.0221769909849799,0.00214051774346113,4.58181621007195e-06,0.02218157280119
2,0.66,0.33,1000,"estimate_oracle",0.668768912150877,0.0202948259029427,-0.0243782684090685,0.000594299970624589,0.0208891258735673
2,0.66,0.33,1000,"estimate_pi",0.668021219475559,0.0234103288443891,-0.0251259610843866,0.000631313920414109,0.0240416427648032
2,0.66,0.33,2000,"estimate_c05",0.694884040623701,0.0113743404211415,0.00173686006375606,3.01668288107071e-06,0.0113773571040225
2,0.66,0.33,2000,"estimate_mle",0.696691545320442,0.0114239519369465,0.00354436476049713,1.25625215554539e-05,0.0114365144585019
2,0.66,0.33,2000,"estimate_oracle",0.683150195998583,0.0109212630330994,-0.00999698456136244,9.9939700320119e-05,0.0110212027334195
2,0.66,0.33,2000,"estimate_pi",0.683022897123295,0.0117480566059051,-0.0101242834366506,0.000102501115105638,0.0118505577210107
2,0.66,0.33,5000,"estimate_c05",0.692835902996598,0.00452153653202651,-0.000311277563347478,9.68937214435435e-08,0.00452163342574796
2,0.66,0.33,5000,"estimate_mle",0.693554404708022,0.00452933109163751,0.000407224148076257,1.65831506776434e-07,0.00452949692314428
2,0.66,0.33,5000,"estimate_oracle",0.688106000131394,0.00444828975347521,-0.00504118042855117,2.54135001132074e-05,0.00447370325358842
2,0.66,0.33,5000,"estimate_pi",0.688070978834675,0.00458125609214149,-0.0050762017252699,2.57678239556331e-05,0.00460702391609713
2,0.66,0.33,10000,"estimate_c05",0.693842151628249,0.00220882831733932,0.000694971068303962,4.82984785779551e-07,0.0022093113021251
2,0.66,0.33,10000,"estimate_mle",0.694201438398972,0.00221072247876209,0.00105425783902702,1.11145959114992e-06,0.00221183393835324
2,0.66,0.33,10000,"estimate_oracle",0.69146427051333,0.00219080344591316,-0.00168291004661525,2.83218622499854e-06,0.00219363563213816
2,0.66,0.33,10000,"estimate_pi",0.691461905002913,0.00222346149773396,-0.00168527555703246,2.84015370313107e-06,0.00222630165143709
2,0.66,0.5,500,"estimate_c05",0.69937783776877,0.0377140634932756,0.00623065720882476,3.882108925388e-05,0.0377528845825295
2,0.66,0.5,500,"estimate_mle",0.702985197600893,0.0381283791730495,0.00983801704094733,9.67865792979701e-05,0.0382251657523475
2,0.66,0.5,500,"estimate_oracle",0.655754465763339,0.0329227222295669,-0.0373927147966061,0.00139821511986033,0.0343209373494272
2,0.66,0.5,500,"estimate_pi",0.654997850524002,0.0416926551275478,-0.0381493300359435,0.00145537138219134,0.0431480265097391
2,0.66,0.5,1000,"estimate_c05",0.694264153958025,0.0193124671015021,0.00111697339807937,1.24762957201697e-06,0.0193137147310741
2,0.66,0.5,1000,"estimate_mle",0.696041121567161,0.0194176384667884,0.00289394100721552,8.37489455324356e-06,0.0194260133613417
2,0.66,0.5,1000,"estimate_oracle",0.671783992751172,0.0180140844203707,-0.0213631878087734,0.000456385793352926,0.0184704702137237
2,0.66,0.5,1000,"estimate_pi",0.67123957755791,0.0205404618541789,-0.0219076030020353,0.000479943069294787,0.0210204049234737
2,0.66,0.5,2000,"estimate_c05",0.69315093356969,0.00926413392346711,3.75300974464476e-06,1.40850821433986e-11,0.00926413393755219
2,0.66,0.5,2000,"estimate_mle",0.694034028502121,0.00928921819120073,0.000886847942176194,7.86499272542151e-07,0.00929000469047327
2,0.66,0.5,2000,"estimate_oracle",0.681711924289695,0.00894376801357761,-0.0114352562702505,0.000130765085966304,0.00907453309954392
2,0.66,0.5,2000,"estimate_pi",0.68154230506008,0.00956478413049332,-0.0116048754998652,0.000134673135367372,0.00969945726586069
